Co./Last Name,First Name,Addr 1 - Line 1,Addr 1 - Line 2,Addr 1 - Line 3,Addr 1 - Line 4,Inclusive,Purchase No.,Date,Supplier Invoice No.,Ship Via,Delivery Status,Item Number,Quantity,Description,Price,Discount,Total,Job,Comment,Journal Memo,Shipping Date,Tax Code,Tax Amount,Freight Amount,Freight Tax Code,Freight Tax Amount,Purchase Status,Currency Code,Exchange Rate,Terms - Payment is Due,           - Discount Days,           - Balance Due Days,           - % Discount,Amount Paid,Category,Order,Received,Billed,Location ID,Card ID,Record ID
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Tools,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2394,29/09/2021,,,P,ZZZ307,2,Digital Site Level,$162.725,0%,$325.45,,,Purchase; Total Tools,,GST,$32.55,$0.00,GST,$0.00,B,,,5,1,30,0,$358,,,-3,2,Location1,*None,3635
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laboratorio de Resbaladicidad SL,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2410,06/10/2021,3055,,A,ZZZ134,6,Pendulum Levelling Feet,$32.990196,15%,$168.25,,,Purchase; Laboratorio de Resbaladicidad SL,,N-T,$0.00,$9.03,N-T,$0.00,B,,,5,1,30,0,"$1,441.1",,,12,6,Location1,*None,4684
Laboratorio de Resbaladicidad SL,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2410,06/10/2021,3055,,A,ZZZ135,6,Levelling Feet Screw Knob,$5.280392,15%,$26.93,,,Purchase; Laboratorio de Resbaladicidad SL,,N-T,$0.00,$9.03,N-T,$0.00,B,,,5,1,30,0,"$1,441.1",,,2,6,Location1,*None,4684
Laboratorio de Resbaladicidad SL,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2410,06/10/2021,3055,,A,ZZZ188,3,Wessex Pendulum Pointer (ES),$105.058824,15%,$267.9,,,Purchase; Laboratorio de Resbaladicidad SL,,N-T,$0.00,$9.03,N-T,$0.00,B,,,5,1,30,0,"$1,441.1",,,2,3,Location1,*None,4684
Laboratorio de Resbaladicidad SL,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2410,06/10/2021,3055,,A,ZZZ189,2,Wessex Pendulum Point Ring (ES,$113.152941,15%,$192.36,,,Purchase; Laboratorio de Resbaladicidad SL,,N-T,$0.00,$9.03,N-T,$0.00,B,,,5,1,30,0,"$1,441.1",,,6,2,Location1,*None,4684
Laboratorio de Resbaladicidad SL,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2410,06/10/2021,3055,,A,ZZZ114,4,Pendulum Release Catch,$65.970588,15%,$224.3,,,Purchase; Laboratorio de Resbaladicidad SL,,N-T,$0.00,$9.03,N-T,$0.00,B,,,5,1,30,0,"$1,441.1",,,1,4,Location1,*None,4684
Laboratorio de Resbaladicidad SL,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2410,06/10/2021,3055,,A,ZZZ150,6,Pendulum Arm Attachment Clamp,$39.580392,15%,$201.86,,,Purchase; Laboratorio de Resbaladicidad SL,,N-T,$0.00,$9.03,N-T,$0.00,B,,,5,1,30,0,"$1,441.1",,,8,6,Location1,*None,4684
Laboratorio de Resbaladicidad SL,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2410,06/10/2021,3055,,A,ZZZ2005,2,Pavigres Tile,$164.929412,15%,$280.38,,,Purchase; Laboratorio de Resbaladicidad SL,,N-T,$0.00,$9.03,N-T,$0.00,B,,,5,1,30,0,"$1,441.1",,,3,2,Location1,*None,4684
Laboratorio de Resbaladicidad SL,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2410,06/10/2021,3055,,A,ZZZ2004,2,TRS Float Glass,$41.229412,15%,$70.09,,,Purchase; Laboratorio de Resbaladicidad SL,,N-T,$0.00,$9.03,N-T,$0.00,B,,,5,1,30,0,"$1,441.1",,,-1,2,Location1,*None,4684
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laboratorio de Resbaladicidad SL,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2411,07/10/2021,3058,,A,ZZZ0001,1,WanmaLab Pendulum,"$6,070.36",0%,"$6,070.36",,,Purchase; Laboratorio de Resbaladicidad SL,,N-T,$0.00,$0.00,N-T,$0.00,B,,,5,1,30,0,"$6,070.36",,,49,1,Location1,*None,4684
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smithers MSE Limited,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,,2415,15/10/2021,PF/ID/17824,,P,ZZZ2001,35,4S (96) Rubber Slider,$66.09,0%,"$2,313.15",,,Purchase; Smithers MSE Limited,,N-T,$0.00,$57.86,N-T,$0.00,B,,,5,1,30,0,"$2,701.46",,,532,35,Location1,*None,2522
Smithers MSE Limited,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,,2415,15/10/2021,PF/ID/17824,,P,ZZZ2002,5,TRL (55) Rubber Slider,$66.09,0%,$330.45,,,Purchase; Smithers MSE Limited,,N-T,$0.00,$57.86,N-T,$0.00,B,,,5,1,30,0,"$2,701.46",,,234,5,Location1,*None,2522
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ebay,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2419,21/10/2021,,,P,ZZZ304,5,Digital Site Thermometer,$9.818,0%,$49.09,,,Purchase; ebay,,GST,$4.91,$0.00,GST,$0.00,B,,,5,1,30,0,$54,,,0,5,Location1,*None,3510
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smithers MSE Limited,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2421,26/10/2021,PF/ID/17877,,P,ZZZ2001,20,4S (96) Rubber Slider,$65.84,0%,"$1,316.8",,,Purchase; Smithers MSE Limited,,N-T,$0.00,$57.42,N-T,$0.00,B,,,5,1,30,0,"$1,374.22",,,532,20,Location1,*None,2522
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office Works,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2433,01/11/2021,,,P,ZZZ302,2,Clipboard A4 (Wet),$4.09,0%,$8.18,,,Purchase; Office Works,,GST,$.82,$0.00,GST,$0.00,B,,,5,1,30,0,$9,,,-7,2,Location1,*None,3520
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laboratorio de Resbaladicidad SL,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2435,01/11/2021,3086,,A,ZZZ0001,1,WanmaLab Pendulum,"$5,933.55",0%,"$5,933.55",,,Purchase; Laboratorio de Resbaladicidad SL,,N-T,$0.00,$0.00,N-T,$0.00,B,,,5,1,30,0,"$5,933.55",,,49,1,Location1,*None,4684
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QM Systems Ltd,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2521,17/11/2021,10215,,P,ZZZ0003,1,Wessex Tortus 3,"$9,189.082353",15%,"$7,810.72",,,Purchase; Wessex Precision Instruments Limited,,N-T,$0.00,$577.4,N-T,$0.00,B,,,5,1,30,0,"$8,388.12",,,12,1,Location1,Wessex,2088
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
