Date,Amount,From Account,To Account,Reference Number
22/12/2021,1000.0,11111.0,21002,tfr-331
22/12/2021,3000.0,11111.0,11113,tfr-332
23/12/2021,5000.0,11111.0,11113,tfr-333
23/12/2021,2000.0,11111.0,11113,tfr-334
23/12/2021,2000.0,11111.0,19001,tfr-335
23/12/2021,1000.0,11111.0,21002,TFR-336
24/12/2021,1000.0,11111.0,21002,tfr-337
29/12/2021,1000.0,11111.0,21002,tfr-338
29/12/2021,600.0,11111.0,21002,tfr-339
29/12/2021,1375.0,11111.0,19001,tfr-340
31/12/2021,21169.0,11111.0,11815,wages-341
31/12/2021,6000.0,11111.0,11113,tfr-342
31/12/2021,3506.0,11111.0,11815,wages-343
31/12/2021,200.0,11111.0,11815,wages-344
04/01/2022,1000.0,11111.0,11113,tfr-345
04/01/2022,2000.0,11111.0,21002,tfr-346
04/01/2022,3000.0,11111.0,11113,tfr-347
04/01/2022,1375.0,11111.0,19001,tfr-348
05/01/2022,1000.0,11111.0,11113,tfr-349
05/01/2022,2000.0,11111.0,11113,tfr-350
06/01/2022,1000.0,11111.0,11113,tfr-351
06/01/2022,2000.0,11111.0,11113,tfr-352
06/01/2022,2000.0,11111.0,11113,tfr-353
07/01/2022,2000.0,11111.0,11113,tfr-354
10/01/2022,1375.0,11111.0,19001,tfr-355
10/01/2022,5000.0,11111.0,11113,tfr-356
11/01/2022,1000.0,11111.0,11113,tfr-357
11/01/2022,2000.0,11111.0,21002,tfr-358
11/01/2022,7000.0,11111.0,11113,tfr-359
12/01/2022,1000.0,11111.0,21002,tfr-360
13/01/2022,3000.0,11111.0,21002,tfr-361
13/01/2022,1000.0,11111.0,21002,tfr-362
14/01/2022,4483.3,11111.0,11815,wages-363
17/01/2022,2000.0,11111.0,11113,tfr-364
17/01/2022,1500.0,11111.0,21002,tfr-365
17/01/2022,1000.0,11111.0,11113,tfr-366
17/01/2022,3000.0,11111.0,11113,tfr-367
17/01/2022,1375.0,11111.0,19001,tfr-368
17/01/2022,21876.6,11111.0,11815,tfr-369
18/01/2022,3000.0,11111.0,11113,tfr-370
18/01/2022,1500.0,11111.0,21002,tfr-371
19/01/2022,3000.0,11111.0,11113,tfr-372
19/01/2022,1000.0,11111.0,11113,tfr-373
20/01/2022,10000.0,11111.0,11113,tfr-374
20/01/2022,6000.0,11111.0,11113,tfr-375
20/01/2022,2000.0,11111.0,11113,tfr-376
20/01/2022,2000.0,11111.0,21002,tfr-377
24/01/2022,2000.0,11111.0,21002,tfr-378
24/01/2022,1375.0,11111.0,19001,tfr-379
24/01/2022,1000.0,11111.0,21002,tfr-380
25/01/2022,4000.0,11111.0,11113,tfr-381
27/01/2022,2000.0,11111.0,21002,tfr-382
28/01/2022,2000.0,11111.0,19001,tfr-383
28/01/2022,1000.0,11111.0,21002,tfr-384
31/01/2022,23511.7,11111.0,11815,tfr-385
31/01/2022,3783.3,11111.0,11815,tfr-386
31/01/2022,2500.0,11111.0,21002,tfr-387
31/01/2022,2500.0,11111.0,21002,tfr-388
31/01/2022,1000.0,11111.0,11113,tfr-389
31/01/2022,1000.0,11111.0,21002,tfr-390
31/01/2022,1375.0,11111.0,19001,tfr-391
01/02/2022,4000.0,11111.0,11113,tfr-392
01/02/2022,2000.0,11111.0,11113,tfr-393
02/02/2022,2000.0,11111.0,11113,tfr-394
02/02/2022,1500.0,11111.0,21002,tfr-395
03/02/2022,6000.0,11111.0,11113,tfr-396
03/02/2022,3000.0,11111.0,21002,tfr-397
03/02/2022,3000.0,11111.0,11113,tfr-398
03/02/2022,2000.0,11111.0,21002,tfr-399
04/02/2022,10000.0,11111.0,19001,tfr-400
04/02/2022,2000.0,11111.0,11113,tfr-401
04/02/2022,1000.0,11111.0,21002,tfr-402
07/02/2022,5000.0,11111.0,11113,tfr-403
07/02/2022,1375.0,11111.0,19001,tfr-404
08/02/2022,2000.0,11111.0,21002,tfr-405
08/02/2022,1500.0,11111.0,21002,tfr-406
08/02/2022,1000.0,11111.0,11113,tfr-407
08/02/2022,1000.0,11111.0,11113,tfr-408
09/02/2022,3000.0,11111.0,21002,tfr-409
09/02/2022,1000.0,11111.0,11113,tfr-410
10/02/2022,4000.0,11111.0,11113,tfr-411
10/02/2022,4000.0,11111.0,21002,tfr-412
10/02/2022,2000.0,11111.0,21002,tfr-413
11/02/2022,2000.0,11111.0,21002,tfr-414
11/02/2022,1000.0,11111.0,11113,tfr-415
14/02/2022,2000.0,11111.0,21002,tfr-416
14/02/2022,1375.0,11111.0,19001,tfr-417
15/02/2022,20809.5,11111.0,11815,tfr-418
15/02/2022,1253.05,11111.0,11815,tfr-419
15/02/2022,7000.0,11111.0,11113,tfr-420
15/02/2022,6000.0,11111.0,11113,tfr-421
15/02/2022,3993.3,11111.0,11815,tfr-422
15/02/2022,1438.8,11111.0,11815,tfr-423
16/02/2022,5000.0,11111.0,11113,tfr-424
17/02/2022,4000.0,11111.0,11113,tfr-425
17/02/2022,3000.0,11111.0,11113,tfr-426
17/02/2022,2000.0,11111.0,11113,tfr-427
17/02/2022,1500.0,11111.0,21002,tfr-428
18/02/2022,5000.0,11111.0,11113,tfr-429
18/02/2022,3000.0,11111.0,11113,tfr-430
18/02/2022,2000.0,11111.0,21002,tfr-431
21/02/2022,1750.0,11111.0,19001,tfr-432
22/02/2022,2000.0,11111.0,21002,tfr-433
23/02/2022,5000.0,11111.0,21002,tfr-434
24/02/2022,5000.0,11111.0,21002,tfr-435
24/02/2022,3000.0,11111.0,21002,tfr-436
25/02/2022,6000.0,11111.0,21002,tfr-437
25/02/2022,2000.0,11111.0,21002,tfr-438
28/02/2022,21831.5,11111.0,11815,tfr-439
28/02/2022,4483.3,11111.0,11815,tfr-440
28/02/2022,2500.0,11111.0,21002,tfr-441
28/02/2022,1750.0,11111.0,19001,tfr-442
01/03/2022,3000.0,11111.0,11113,tfr-443
02/03/2022,3000.0,11111.0,11113,tfr-444
02/03/2022,3000.0,11111.0,11113,tfr-445
03/03/2022,7500.0,11111.0,21002,tfr-446
03/03/2022,2000.0,11111.0,11113,tfr-447
04/03/2022,3000.0,11111.0,11113,tfr-448
07/03/2022,1750.0,11111.0,19001,tfr-449
07/03/2022,5000.0,11111.0,11113,tfr-450
08/03/2022,1000.0,11111.0,11113,TFR-451
09/03/2022,4000.0,11111.0,11113,tfr-452
09/03/2022,3000.0,11111.0,11113,tfr-453
10/03/2022,3000.0,11111.0,11113,tfr-454
10/03/2022,4000.0,11111.0,11113,tfr-455
11/03/2022,6000.0,11111.0,21002,tfr-456
14/03/2022,1750.0,11111.0,19001,tfr-457
15/03/2022,22342.55,11111.0,11815,tfr-458
15/03/2022,4063.3,11111.0,11815,tfr-459
15/03/2022,2000.0,11111.0,21002,tfr-460
16/03/2022,3500.0,11111.0,21002,tfr-461
17/03/2022,8000.0,11111.0,21002,tfr-462
17/03/2022,7000.0,11111.0,11113,tfr-463
18/03/2022,3000.0,11111.0,11113,tfr-464
18/03/2022,2000.0,11111.0,11113,tfr-465
21/03/2022,1000.0,11111.0,11113,tfr-466
21/03/2022,1750.0,11111.0,19001,tfr-467
23/03/2022,2000.0,11111.0,11113,tfr-468
23/03/2022,1000.0,11111.0,11113,tfr-469
24/03/2022,6000.0,11111.0,21002,tfr-470
24/03/2022,4000.0,11111.0,11113,tfr-471
24/03/2022,1000.0,11111.0,11113,tfr-472
25/03/2022,8000.0,11111.0,11113,tfr-473
28/03/2022,2000.0,11111.0,11113,tfr-474
28/03/2022,1750.0,11111.0,19001,tfr-475
30/03/2022,8000.0,11111.0,21002,tfr-476
30/03/2022,1600.0,11111.0,21002,tfr-477
30/03/2022,1000.0,11111.0,21002,tfr-478
31/03/2022,23329.05,11111.0,11815,tfr-479
31/03/2022,10000.0,11111.0,21002,tfr-480
31/03/2022,3000.0,11111.0,11113,tfr-481
31/03/2022,4133.3,11111.0,11815,tfr-482
31/03/2022,1000.0,11111.0,11113,tfr-483
01/04/2022,3000.0,11111.0,21002,tfr-484
04/04/2022,1500.0,11111.0,21002,tfr-485
04/04/2022,1750.0,11111.0,19001,tfr-486
04/04/2022,1000.0,11111.0,11113,tfr-487
05/04/2022,4000.0,11111.0,21002,tfr-488
05/04/2022,3000.0,11111.0,11113,tfr-489
06/04/2022,6000.0,11111.0,11113,tfr-490
07/04/2022,7000.0,11111.0,11113,tfr-491
07/04/2022,1000.0,11111.0,11112,tfr-492
07/04/2022,1000.0,11111.0,11113,tfr-493
08/04/2022,4000.0,11111.0,11113,tfr-494
11/04/2022,2000.0,11111.0,11113,tfr-495
11/04/2022,1750.0,11111.0,19001,tfr-496
