*ContactName,EmailAddress,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,POCity,PORegion,POPostalCode,POCountry,*InvoiceNumber,Reference,*InvoiceDate,*DueDate,Total,InventoryItemCode,*Description,*Quantity,*UnitAmount,Discount,*AccountCode,*TaxType,TaxAmount,TrackingName1,TrackingOption1,TrackingName2,TrackingOption2,Currency,Exchange Rate
Down To Earth Sparky,,,,,,,,,,4498.0,,30/10/2024,30/10/2024,,,Credit card surcharge,1,5.93,,62628.0,BAS Excluded,0.00,Job,,,,,
Down To Earth Sparky,,,,,,,,,,4499.0,,30/10/2024,30/10/2024,,,Testing and tagging and report for HQ,1,675,,60103.0,GST on Expenses,67.5,Job,,,,,
Down To Earth Sparky,,,,,,,,,,4499.0,,30/10/2024,30/10/2024,,,Credit card surcharge,1,13.35,,60103.0,GST on Expenses,1.34,Job,,,,,
Down To Earth Sparky,,,,,,,,,,4499.0,,30/10/2024,30/10/2024,,,.,1,0.00,,60103.0,GST on Expenses,0.00,Job,,,,,
Rapid Global,,,,,,,,,,4500.0,,30/10/2024,30/10/2024,,,Colloers induction for Chris rezuk,1,35,,60101.0,GST on Expenses,3.5,Job,,,,,
Zoom Office Cleaning,,,,,,,,,,4495.0,,31/10/2024,31/10/2024,,,October cleaning t the GTCC,1,230.16,,62622.0,GST on Expenses,23.02,Job,,,,,
Zoom Office Cleaning,,,,,,,,,,4496.0,,31/10/2024,31/10/2024,,,October cleaning at HQ,1,"1,230.84",,61107.0,GST on Expenses,123.08,Job,,,,,
Wash On Wheels,,,,,,,,,,4497.0,,31/10/2024,31/10/2024,,,Car detailing 049DV7 and Natalie's Mazda,1,343.64,,62005.0,GST on Expenses,34.36,Job,,,,,
Empire Accountants,,,,,,,,,,4506.0,,31/10/2024,31/10/2024,,,Monthly fixed agreement FY 2024/2025,1,"1,710",,60008.0,GST on Expenses,171,Job,,,,,
Empire Accountants,,,,,,,,,,4506.0,,31/10/2024,31/10/2024,,,Bank surcharge,1,1.9,,60008.0,BAS Excluded,0.00,Job,,,,,
Red ICT,,,,,,,,,,4508.0,,31/10/2024,31/10/2024,,,NBN Lota,1,111.18,,61004.0,GST on Expenses,11.12,Job,,,,,
Red ICT,,,,,,,,,,4508.0,,31/10/2024,31/10/2024,,,NBN GTCC,1,102.09,,62614.0,GST on Expenses,10.21,Job,,,,,
Laboratorio de Resbaladicidad SL,,,,,,,,,,4517.0,,31/10/2024,31/10/2024,,,Repairing part (Pillar tightening fixing pin),1,6.76,,61705.0,BAS Excluded,0.00,Job,,,,,
TNT Express,,,,,,,,,,4571.0,,31/10/2024,31/10/2024,,,Sensing pendulum to Era Polymers ,1,215.55,,60027.0,GST on Expenses,21.56,Job,,,,,
Citygreen,,,,,,,,,,4504.0,,01/11/2024,01/11/2024,,,Indoor plant maintenance,1,70.45,,61107.0,GST on Expenses,7.05,Job,,,,,
MYOB Australia Pty Ltd,,,,,,,,,,4505.0,,01/11/2024,01/11/2024,,,MYOB monthly subscription,1,160.91,,60017.0,GST on Expenses,16.09,Job,,,,,
Nifty Group Pty Ltd,,,,,,,,,,4512.0,,01/11/2024,01/11/2024,,,Online monthly back up,1,80.91,,61001.0,GST on Expenses,8.09,Job,,,,,
Nifty Group Pty Ltd,,,,,,,,,,4512.0,,01/11/2024,01/11/2024,,,Credit card surcharge,1,1.78,,61001.0,BAS Excluded,0.00,Job,,,,,
Office Works,,,,,,,,,,4513.0,,01/11/2024,01/11/2024,,,Stationary for Lota,1,269.46,,61301.0,GST on Expenses,26.95,Job,,,,,
