Date,Bank,Reference,Amount,Invoice No,Exchange
28/9/2022,11111,CR006858-113,1078.0,10405,
28/9/2022,11111,CR006858-114,1188.0,10432,
28/9/2022,11111,CR006858-115,4283.13,10404,
15/1/2024,11111,CR007135-116,6602.75,10671,
17/10/2022,21100,CR006877-117,6699.0,10433,
16/2/2023,21100,CR006963-118,6734.75,10507,
2/1/2024,11111,CR007130-119,6745.68,10675,
13/5/2024,21100,CR007216-120,6820.0,10733,
18/11/2024,21100,CR007368-121,6820.0,10864,
4/4/2025,21100,CR007471-122,6872.25,10975,
14/3/2025,21100,CR007462-123,6910.75,10958,
31/8/2022,21100,CR006841-124,6996.0,10411,
16/10/2024,21100,CR007341-125,7203.63,10840,
16/5/2023,21100,CR007003-126,7211.87,10549,
3/11/2022,21100,CR006890-127,7480.0,10452,
29/4/2024,11111,CR007200-128,7565.25,10728,
14/2/2025,21100,CR007435-129,7603.75,10939,
19/8/2024,21100,CR007289-130,7645.0,10820,
16/9/2024,21100,CR007316-131,7799.0,10841,
17/1/2025,21100,CR007413-132,7843.0,10908,
16/2/2024,21100,CR007152-133,7889.75,10686,
18/9/2024,21100,CR007321-134,7892.5,10837,
12/7/2022,11111,CR006789-135,7908.04,10378,
17/12/2024,21100,CR007389-136,7928.25,10885,
17/1/2023,21100,CR006941-137,5802.5,10493,
17/1/2023,21100,CR006941-138,2139.5,10477,
16/7/2024,21100,CR007266-139,7970.88,10767,
20/1/2025,21100,CR007415-140,8153.75,10934,
16/1/2024,21100,CR007140-141,8283.75,10667,
28/10/2022,11111,CR006880-142,8360.4,10438,
23/12/2022,11111,CR006928-143,8396.84,10495,
17/7/2023,21100,CR007031-144,8580.0,10581,
4/3/2024,21100,CR007162-145,8580.0,10703,
18/2/2025,21100,CR007437-146,8580.0,10920,
17/2/2025,21100,CR007436-147,5541.25,10919,
17/2/2025,21100,CR007436-148,3082.2,10918,
9/9/2024,11111,CR007308-149,8646.89,10825,
14/10/2024,21100,CR007339-150,8772.5,10863,
22/10/2024,21100,CR007343-151,8778.0,10854,
13/3/2023,11111,CR006974-152,235.88,10527,
13/3/2023,11111,CR006974-153,8757.42,10526,
6/9/2024,21100,CR007306-154,9240.0,10827,
2/12/2022,21100,CR006910-155,7490.89,10476,
2/12/2022,21100,CR006910-156,1760.0,10475,
16/9/2022,21100,CR006856-157,6330.5,10408,
16/9/2022,21100,CR006856-158,2984.3,10394,
19/12/2023,13160,CR007118-159,9412.22,10660,
28/12/2022,13160,ADJ-160,9415.74,10482,
4/10/2022,21100,CR006865-161,9498.5,10426,
1/11/2022,21100,CR006884-162,9498.5,10443,
16/12/2022,21100,CR006923-163,9774.88,10474,
21/6/2023,11111,CR007017-164,9143.75,10579,
21/6/2023,11111,CR007017-165,660.0,10578,
7/2/2025,21100,CR007428-166,9845.0,10935,
16/11/2023,21100,CR007094-167,6820.0,10636,
16/11/2023,21100,CR007094-168,3030.5,10635,
9/2/2023,11111,CR006959-169,736.02,10516,
9/2/2023,11111,CR006959-170,461.6,10517,
9/2/2023,11111,CR006959-171,8757.42,10515,
5/2/2024,11111,CR007147-172,9968.95,10680,
17/9/2024,21100,CR007319-173,10010.0,10815,
13/2/2025,13160,CR007434-174,10089.35,10917,
3/3/2025,21100,CR007449-175,10175.0,10955,
31/10/2023,21100,CR007084-176,10410.59,10633,
26/8/2024,21100,CR007292-177,10414.25,10807,
