Item Number,Item Name,Inventory,Asset Acct,Income Acct,Expense/COS Acct,Description,Selling Price,Sell Unit Measure,Tax Code When Sold,Sell Price Inclusive,Sales Tax Calc. Method,No. Items/Sell Unit,Quantity Break 1,Quantity Break 2,Quantity Break 3,Quantity Break 4,Quantity Break 5,"Price Level A, Qty Break 1","Price Level B, Qty Break 1","Price Level C, Qty Break 1","Price Level D, Qty Break 1","Price Level E, Qty Break 1","Price Level F, Qty Break 1","Price Level A, Qty Break 2","Price Level B, Qty Break 2","Price Level C, Qty Break 2","Price Level D, Qty Break 2","Price Level E, Qty Break 2","Price Level F, Qty Break 2","Price Level A, Qty Break 3","Price Level B, Qty Break 3","Price Level C, Qty Break 3","Price Level D, Qty Break 3","Price Level E, Qty Break 3","Price Level F, Qty Break 3","Price Level A, Qty Break 4","Price Level B, Qty Break 4","Price Level C, Qty Break 4","Price Level D, Qty Break 4","Price Level E, Qty Break 4","Price Level F, Qty Break 4","Price Level A, Qty Break 5","Price Level B, Qty Break 5","Price Level C, Qty Break 5","Price Level D, Qty Break 5","Price Level E, Qty Break 5","Price Level F, Qty Break 5",Inactive Item,Standard Cost,Default Ship/Sell Location,Default Recvd/Auto Location
46-Remove-crank-plug,Remove oil plugs then drill & ,,,41112,,Remove oil plugs then drill & tap NPT crank 6 Cylinder,220.00,,GST,X,0,1,0,0,0,0,0,220,200,165,165,165,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,,
46-Set-Ring-Clearance,Set Ring end gaps,,,41112,,Set Ring end gaps,220.00,,GST,X,0,1,0,0,0,0,0,220,200,220,220,220,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,,
48-Hot-Tank-Block,Hot Tank V8 Block,,,41112,,Hot Tank V8 Block,172.00,1,GST,X,0,1,0,0,0,0,0,172,154.8,75,75,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,,
48-4Bolt-Conversion,Convert Block to 4 Bolt Mains,,,41112,58000,"Convert Block to 4 Bolt Mains including Modifying Block for 1/2"" Main Studs",2045.00,1,GST,X,0,1,0,0,0,0,0,2045,1500,75,75,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,"£1,572.78",,
26-RB26-Front-Diff-Assembly,RB6 Front Diff Assembly,,,41112,,Assemble front diff in billet dry sump. Replace gears with 4.11 & center to quaif LSD.,1000.00,1,GST,X,0,1,0,0,0,0,0,1000,1650,1650,1650,1650,1650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,,
18-Lash-Caps,86121-16 Crower Lash Caps 11/3,,,41112,51111,"86121-16 Crower Lash Caps 11/32 .080"" x .090"" Deep",151.00,1,GST,X,0,1,0,0,0,0,0,151,151,151,151,151,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£110.35,,
18-pushrods-Trend,T8651353CL Trend Pushrods 8.65,,,41112,51111,T8651353CL Trend Pushrods 8.65 .135 3/8 210RAD,870.00,1,GST,X,0,1,0,0,0,0,0,870,151,151,151,151,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£663.31,,
82-ARP-3.620,AR3.620-1LB ARP Stud 1/2 x 3.6,,,41112,51111,AR3.620-1LB ARP Stud 1/2 x 3.620 Long Broach,177.00,1,GST,X,0,1,0,0,0,0,0,177,870,870,870,870,870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£124.93,,
00-Electricity,Electricity supply & Usage,,,41620,,,0.00,,GST,X,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,,
38-CNC-LS3,CNC Port LS3 Heads,,,41113,,,1100.00,,GST,X,0,1,0,0,0,0,0,1100,1100,1100,1100,1100,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,,
